country,conflict_violence_events
Afghanistan,22
Syria,19
Mexico,17
Sudan,16
China,15
Palestine,15
Haiti,13
Yemen,13
Democratic Republic of Congo,10
Cameroon,10
Colombia,9
Ethiopia,7
Brazil,5
Ecuador,5
Kenya,4
Egypt,4
South Sudan,4
Ukraine,4
Iraq,4
Somalia,3
Burundi,3
Honduras,3
Chile,2
Greece,2
Trinidad and Tobago,2
Russia,2
Papua New Guinea,2
Uganda,1
El Salvador,1
Bolivia,1
South Korea,1
Hungary,1
United States,1
Nicaragua,1
Jamaica,1
Uzbekistan,1
Central African Republic,1
Canada,1
Morocco,1
Mozambique,1
Chad,1
Lebanon,1
Iran,1
Guatemala,1
Libya,1
Serbia,1
Tunisia,1
Kazakhstan,1
