country,epidemic_events
Democratic Republic of the Congo,9
Nigeria,9
Sudan,5
Congo,5
Somalia,4
Ethiopia,4
Zambia,4
United Republic of Tanzania,3
Zimbabwe,3
Kenya,3
Mozambique,3
South Sudan,3
Yemen,3
Kyrgyzstan,2
Bangladesh,2
Uganda,2
Tonga,2
India,2
Pakistan,2
Nepal,2
Malawi,2
Philippines,2
Costa Rica,2
Angola,1
Madagascar,1
Haiti,1
Central African Republic,1
Fiji,1
El Salvador,1
Sri Lanka,1
Guinea,1
Niger,1
Liberia,1
Peru,1
Mali,1
Comoros,1
Burundi,1
Rwanda,1
Burkina Faso,1
Samoa,1
Paraguay,1
Saint Vincent and the Grenadines,1
Lebanon,1
Cameroon,1
Cabo Verde,1
Afghanistan,1
Bosnia and Herzegovina,1
Equatorial Guinea,1
Nicaragua,1
Benin,1
Timor-Leste,1
Sao Tome and Principe,1
Saint Lucia,1
Syrian Arab Republic,1
Maldives,1
Malaysia,1
Panama,1
Algeria,1
Honduras,1
Guatemala,1
Colombia,1
Dominican Republic,1
