country,natural_disaster_events
United States of America,207
Indonesia,159
China,111
Philippines,105
India,98
Brazil,77
Viet Nam,68
Pakistan,55
Colombia,54
France,53
Thailand,52
Afghanistan,51
Japan,48
Mexico,47
Peru,43
Iran (Islamic Republic of),42
Democratic Republic of the Congo,38
Türkiye,37
South Africa,36
Italy,35
Malaysia,34
Australia,33
Madagascar,31
Bolivia (Plurinational State of),31
Bangladesh,30
Uganda,30
Sri Lanka,30
Spain,29
Nepal,27
Ecuador,26
Canada,26
United Republic of Tanzania,25
Mozambique,24
Guatemala,24
Argentina,23
Republic of Korea,23
Chile,21
Greece,21
Yemen,20
Russian Federation,20
Haiti,20
Ethiopia,20
Venezuela (Bolivarian Republic of),19
United Kingdom of Great Britain and Northern Ireland,19
Myanmar,19
Nigeria,19
Kenya,18
Somalia,18
Syrian Arab Republic,18
Malawi,18
Taiwan (Province of China),18
Germany,17
Cuba,17
Papua New Guinea,16
Dominican Republic,16
Mongolia,16
Honduras,15
New Zealand,15
Belgium,14
Lao People's Democratic Republic,14
Rwanda,14
Switzerland,14
Algeria,13
Bosnia and Herzegovina,13
Angola,13
Iraq,13
Uruguay,13
Poland,13
Portugal,12
Morocco,12
Czechia,12
Cambodia,12
Cameroon,11
Croatia,11
Netherlands (Kingdom of the),11
Zambia,11
Niger,11
Sudan,11
El Salvador,11
Burundi,11
Chad,10
Bulgaria,10
Serbia,10
Romania,10
Austria,10
Albania,9
Georgia,9
Zimbabwe,9
Central African Republic,9
Paraguay,9
South Sudan,9
Tajikistan,9
Costa Rica,9
Ghana,9
Fiji,8
Congo,8
Slovakia,8
Panama,8
Slovenia,8
"China, Hong Kong Special Administrative Region",8
Puerto Rico,7
Sierra Leone,7
Ukraine,7
Ireland,7
Côte d’Ivoire,6
Nicaragua,6
Mauritania,6
Oman,6
Cyprus,6
Guinea,6
Mali,6
Burkina Faso,6
Norway,6
Vanuatu,6
Botswana,5
Tunisia,5
Saudi Arabia,5
Lebanon,5
Sweden,5
Kyrgyzstan,5
Benin,5
Lesotho,5
Namibia,5
Gambia,5
Armenia,5
Luxembourg,5
Kazakhstan,5
Democratic People's Republic of Korea,5
Senegal,4
Saint Vincent and the Grenadines,4
Réunion,4
Denmark,4
Hungary,4
Israel,4
Belize,4
Latvia,4
Marshall Islands,4
Djibouti,4
Micronesia (Federated States of),3
Gabon,3
Liberia,3
Solomon Islands,3
Eswatini,3
Bahamas,3
Comoros,3
Barbados,3
Mauritius,3
Estonia,3
Finland,3
Montenegro,3
Libya,3
Jamaica,3
Uzbekistan,3
Egypt,3
Togo,3
Lithuania,3
Cabo Verde,3
State of Palestine,3
Canary Islands,3
Guinea-Bissau,2
Guam,2
Timor-Leste,2
Maldives,2
Bhutan,2
Malta,2
Iceland,2
Republic of Moldova,2
Grenada,2
United Arab Emirates,2
Tuvalu,2
Tonga,2
Saint Lucia,2
Suriname,2
Guyana,2
Equatorial Guinea,1
Northern Mariana Islands,1
Azerbaijan,1
New Caledonia,1
Sao Tome and Principe,1
"China, Macao Special Administrative Region",1
Bermuda,1
Liechtenstein,1
French Guiana,1
North Macedonia,1
Belarus,1
Jordan,1
Mayotte,1
Eritrea,1
Palau,1
Guadeloupe,1
Trinidad and Tobago,1
Azores Islands,1
