country,cases_per_100k,deaths_per_100k,cases_total,deaths_total
Hungary,22938.0,503.0,2240890.0,49124.0
Greece,54739.0,376.0,5867251.0,40254.0
United States,31250.0,374.0,103436829.0,1238704.0
Brazil,17897.0,331.0,38042729.0,704045.0
Chile,28303.0,329.0,5410530.0,62893.0
Trinidad and Tobago,13683.0,314.0,191496.0,4390.0
Colombia,12586.0,281.0,6404346.0,142817.0
Russia,17063.0,277.0,24901467.0,404290.0
Serbia,37074.0,261.0,2568005.0,18057.0
Mexico,5919.0,260.0,7631007.0,335111.0
Ukraine,12703.0,251.0,5555530.0,109937.0
Tunisia,9759.0,249.0,1153361.0,29423.0
Ecuador,6135.0,204.0,1082356.0,36064.0
Bolivia,10385.0,192.0,1212187.0,22389.0
Iran,9082.0,175.0,7627863.0,146837.0
Lebanon,18166.0,160.0,1239904.0,10947.0
Canada,12768.0,146.0,4819055.0,55282.0
Jamaica,5325.0,123.0,157687.0,3634.0
Guatemala,7010.0,113.0,1255821.0,20207.0
Palestine,13785.0,112.0,703228.0,5708.0
Honduras,4776.0,112.0,473088.0,11114.0
Kazakhstan,8012.0,102.0,1504370.0,19072.0
Libya,7382.0,94.0,507269.0,6437.0
South Korea,67432.0,70.0,34571873.0,35934.0
El Salvador,3116.0,65.0,202079.0,4230.0
Iraq,6130.0,63.0,2465545.0,25375.0
Morocco,3465.0,44.0,1279115.0,16305.0
Egypt,504.0,24.0,516023.0,24830.0
Afghanistan,604.0,21.0,235214.0,7998.0
Syria,328.0,18.0,57423.0,3163.0
Sudan,146.0,12.0,63993.0,5046.0
Kenya,640.0,11.0,344162.0,5689.0
Somalia,172.0,9.0,27334.0,1361.0
Uganda,377.0,8.0,172234.0,3632.0
China,6755.0,8.0,99381761.0,122398.0
Haiti,307.0,8.0,34979.0,860.0
Yemen,40.0,7.0,11945.0,2159.0
Ethiopia,436.0,7.0,501339.0,7574.0
Cameroon,472.0,7.0,125325.0,1974.0
Papua New Guinea,524.0,7.0,46864.0,670.0
Mozambique,748.0,7.0,233935.0,2252.0
Nicaragua,255.0,4.0,16877.0,245.0
Uzbekistan,523.0,3.0,175158.0,1016.0
Democratic Republic of Congo,113.0,2.0,101010.0,1474.0
Central African Republic,321.0,2.0,15493.0,113.0
South Sudan,169.0,1.0,18873.0,147.0
Chad,47.0,1.0,7702.0,194.0
Burundi,459.0,,54569.0,15.0
